Text,Character,Affiliation,Episode,EpisodeName,Season
That necklace was stolen from my room.,MYRCELLA BARATHEON,WESTERLANDS,9,The Dance of Dragons,5
Is Bran going to die?,MYRCELLA BARATHEON,WESTERLANDS,2,The Kingsroad,1
Wylis! What’s the matter?,NAN,WESTEROSI,5,The Door,6
" You leave the fighting to the little lords, Wylis. Come along, now. It’s no place for you.",NAN,WESTEROSI,2,Home,6
" Well, he’s never going to learn to fight because he’s a stable boy. So leave him be.",NAN,WESTEROSI,2,Home,6
Lyanna.,EDDARD STARK,NORTH,10,The Winds of Winter,6
" No, I’m not a dream. I’m here. Right here.",EDDARD STARK,NORTH,10,The Winds of Winter,6
" I’ve missed you, too.",EDDARD STARK,NORTH,10,The Winds of Winter,6
Shh. You are.,EDDARD STARK,NORTH,10,The Winds of Winter,6
You’re not going to die.,EDDARD STARK,NORTH,10,The Winds of Winter,6
Get her some water!,EDDARD STARK,NORTH,10,The Winds of Winter,6
Is there a maester?,EDDARD STARK,NORTH,10,The Winds of Winter,6
I looked for you on the Trident.,EDDARD STARK,NORTH,3,Oathbreaker,6
The Mad King is dead. Rhaegar lies beneath the ground. Why weren’t you there to protect your prince?,EDDARD STARK,NORTH,3,Oathbreaker,6
Where’s my sister?,EDDARD STARK,NORTH,3,Oathbreaker,6
No. Now it ends.,EDDARD STARK,NORTH,3,Oathbreaker,6
And which one of you was a marksman at 10?,EDDARD STARK,NORTH,2,"Dark Wings, Dark Words",3
" And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",EDDARD STARK,NORTH,1,Winter is Coming,1
Get the lads to saddle their horses.,EDDARD STARK,NORTH,1,Winter is Coming,1
" He swore an oath, Cat.",EDDARD STARK,NORTH,1,Winter is Coming,1
" Tell Bran he’s coming, too.",EDDARD STARK,NORTH,1,Winter is Coming,1
He won’t be a boy forever. And winter is coming.,EDDARD STARK,NORTH,1,Winter is Coming,1
" In the name of Robert of the House Baratheon, first of his name …",EDDARD STARK,NORTH,1,Winter is Coming,1
