Text,Character,Affiliation,Episode,EpisodeName,Season
" It’s not complicated at all, it’s simple. I love Trystane, I’m going to marry him, and we’re staying right here.",MYRCELLA BARATHEON,WESTERLANDS,7,The Gift,5
Of course you don’t! You don’t know me!,MYRCELLA BARATHEON,WESTERLANDS,7,The Gift,5
What if he says no?,MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
" Do you want to marry me because our families arranged it, or do you…",MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
We can’t. Not yet.,MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
You know why not. Someone will see.,MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
How many other girls have you walked through these gardens?,MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
" They don’t go squinty, and you didnt answer the question.",MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
" Uncle Jaime? I don’t understand, what are you doing here?",MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
Trystane is my intended.,MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
No!,MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
You hurt him!,MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
I don’t want to!,MYRCELLA BARATHEON,WESTERLANDS,6,"Unbowed, Unbent, Unbroken",5
When will Joffrey and Sansa be married?,MYRCELLA BARATHEON,WESTERLANDS,3,What Is Dead May Never Die,2
" Mother says I'll have a new gown for the ceremony and another for the feast. But yours will be ivory, since you're the bride.",MYRCELLA BARATHEON,WESTERLANDS,3,What Is Dead May Never Die,2
I'm glad you're not dead.,MYRCELLA BARATHEON,WESTERLANDS,1,The North Remembers,2
And you really believe that?,MYRCELLA BARATHEON,WESTERLANDS,10,Mother's Mercy,5
